Request method:	GET
Request URI:	https://api.staging.myautochek.com/v1/inventory/inspection_request?fields=id%20UNION%20SELECT%20password%20FROM%20users
Proxy:			<none>
Request params:	<none>
Query params:	fields=id UNION SELECT password FROM users
Form params:	<none>
Path params:	<none>
Headers:		Authorization=Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJCUWxRQmJMVFciLCJzZXNzaW9uSWQiOiJralc5WVQwN0UydHJwSDR6WnBWeSIsImp3dElkIjoienUzbzNJajYyWUdWNWFzVXpHNEYiLCJpYXQiOjE3NzMyMDg2NjMsImV4cCI6MTgwNDc0NDY2M30.tBMOE1WZhSf97KTI_1q2_GAdsU-ehzx0ovk2P6fcJl0
				Accept=*/*
Cookies:		<none>
Multiparts:		<none>
Body:			<none>
