"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Offer Simulation","30","Negative Tests: Simulation Offer","211","0","Submit Simulate Offer","0"
"0","TemplateMgtService API's","0","Negative Tests V1","0","32","POST V1 - Preview Template","0"
"0","Detach Tyre Specification","0","Negative Tests: Detach Tyre Specification","108","0","Create Inspection","0"
"0","TemplateMgtService API's","0","Negative Tests V1","0","8","GET V1 - Get Template Schema","0"
"0","Inventory Service","0","Negative Tests: Dynamic Response","16","0","Get Inspection Request","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","13","0","Logbook Booking Info by loan id","0"
"0","TemplateMgtService API's","0","Negative Tests V1","0","65","POST V1 - Negative Create Template","0"
"0","TemplateMgtService API's","0","Negative Tests V1","0","61","Patch V1 - Negative Create Template","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","13","0","Get Loan By ID","0"
"0","Inventory Service","0","Negative Tests: Dynamic Response","29","0","Get Cars","0"
"0","Inventory Service","0","Negative Tests: Dynamic Response","14","0","Get obds","0"
"0","User Service","0","Negative Tests: V2 APIs","0","81","POST Create System Config v2","0"
"0","TemplateMgtService API's","0","Positive Tests V1","0","1","GET V1   - Validate Updated Templates","0"
"0","Inventory Service","0","Negative Tests: Dynamic Response","32","0","Get Inspection","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","15","0","Get Sources List","0"
"0","Detach Tyre Specification","6","Negative Tests: Detach Tyre Specification","68","0","Update Car","0"
"0","TemplateMgtService API's","0","Positive Tests V1","0","1","POST V1   - Create WhatsApp Template","0"
"0","User Service","0","Negative Tests: V2 APIs","0","20","Post logout-all by Admin v2","0"
"0","User Service","0","Negative Tests: V2 APIs","0","11","POST Logout V2","0"
"0","User Service","0","Negative Tests: V2 APIs","0","14","POST Enable User v2","0"
"0","User Service","0","Negative Tests: V2 APIs","0","84","PATCH Update System Config v2","0"
"0","User Service","0","Negative Tests: V2 APIs","0","30","Post User Signup V2","0"
"0","Offer Simulation","0","Positive Tests: Simulation Offer","37","0","Post Offer Simulation","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","15","0","Get Offers List","0"
"0","Offer Simulation","0","Positive Tests: Simulation Offer","1","0","Get Tyre Brands","0"
"0","User Service","0","Positive Tests: V2 APIs","13","0","Post User Signup V2","0"
"0","User Service","0","Negative Tests: V2 APIs","0","13","POST Disable User v2","0"
"0","Inventory Service","0","Positive Tests: Dynamic Response","6","0","Get Body Type","0"
"0","User Service","0","Negative Tests: V2 APIs","0","14","Post User Login V2","0"
"0","TemplateMgtService API's","0","Negative Tests V1","0","30","POST V1 - Send Email Template","0"
"0","User Service","0","Negative Tests: V2 APIs","0","13","Delete System Config v2","0"
"0","Inventory Service","4","Positive Tests: Dynamic Response","0","0","Get obds","0"
"0","Inventory Service","0","Negative Tests: Dynamic Response","16","0","Get Trims","0"
"0","Offer Simulation","0","Negative Tests: Simulation Offer","13","0","Accept Offer","0"
"0","User Service","0","Negative Tests: V2 APIs","0","6","Get Me v2","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","14","0","Get accepted offer by loan id","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","15","0","Get Banks List","0"
"0","Inventory Service","0","Negative Tests: Dynamic Response","17","0","Get Model List","0"
"4","Inventory Service","0","Positive Tests: Dynamic Response","0","0","Get Inspection","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","15","0","Get Partners List","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","17","0","Get Loans List","0"
"0","User Service","0","Negative Tests: V2 APIs","0","10","PATCH V2 Update Password v2","0"
"5","Inventory Service","0","Positive Tests: Dynamic Response","14","0","Get Model List","0"
"0","User Service","0","Positive Tests: V2 APIs","1","0","Post Create System Config V2","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","14","0","Get Offers By OfferID","0"
"0","Inventory Service","10","Positive Tests: Dynamic Response","0","0","Get Make","0"
"13","Inventory Service","0","Positive Tests: Dynamic Response","1","0","Get Cars List","0"
"0","Offer Simulation","0","Negative Tests: Simulation Offer","17","0","Get Tyre Brands","0"
"0","User Service","0","Negative Tests: V2 APIs","0","7","Post Refresh V2","0"
"0","User Service","0","Negative Tests: V2 APIs","0","16","POST Lookup V2","0"
"0","TemplateMgtService API's","0","Negative Tests V1","0","9","GET V1 - Filter Templates","0"
"0","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","5","Get Banks List","0"
"16","Detach Tyre Specification","0","Positive Tests: Detach Tyre Specification","0","0","Create Car","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","14","0","Get loan documents by offer id","0"
"0","User Service","0","Positive Tests: V2 APIs","4","0","Post Logout V2","0"
"0","Detach Tyre Specification","0","Negative Tests: Detach Tyre Specification","1","0","Complete Car","0"
"0","Inventory Service","0","Negative Tests: Dynamic Response","19","0","Get Body Type","0"
"0","Inventory Service","6","Positive Tests: Dynamic Response","0","0","Get Trims","0"
"0","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","5","Get Partners List","0"
"0","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","5","Get Sources List","0"
"0","User Service","0","Negative Tests: V2 APIs","0","1","Get System Config - PATCH Verification v2","0"
"0","Inventory Service","3","Positive Tests: Dynamic Response","0","0","Get Inspection Request","0"
"0","TemplateMgtService API's","0","Positive Tests V1","0","1","POST V1   - Create OTP SMS Template","0"
"0","Detach Tyre Specification","0","Positive Tests: Detach Tyre Specification","1","0","Update Car","0"
"1","User Service","0","Positive Tests: V2 APIs","0","0","Reset System Config to initial state","0"
"0","Origination Service","1","Negative Tests: Response Payload Reduction (V2 APIs)","12","0","Logbook Car Details by loan id","0"
"0","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","5","Get Offers List","0"
"0","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","1","Get Offers By OfferID","0"
"0","TemplateMgtService API's","0","Positive Tests V1","0","4","GET V1 - Filter Templates","0"
"0","TemplateMgtService API's","0","Positive Tests V1","0","1","POST V1   - Send WhatsApp Template","0"
"0","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","1","Get Logbook car details by loan id","0"
"1","Detach Tyre Specification","0","Positive Tests: Detach Tyre Specification","0","0","Get tyre specs after inspection","0"
"1","TemplateMgtService API's","0","Positive Tests V1","0","0","","0"
"0","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","5","Get Loans List","0"
"0","Inventory Service","0","Negative Tests: Dynamic Response","15","0","Get Make","0"
"1","TemplateMgtService API's","0","Negative Tests V1","0","0","","0"
"0","Detach Tyre Specification","0","Negative Tests: Detach Tyre Specification","10","0","Get TyreSpecs","0"
"0","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","1","Get Loan By ID","0"
"0","Offer Simulation","0","Negative Tests: Simulation Offer","1","0","GetLoan By ID","0"
"0","Offer Simulation","0","Positive Tests: Simulation Offer","1","0","Create Loan","0"
"0","TemplateMgtService API's","0","Positive Tests V1","0","1","GET V1   - Get Template Schema ","0"
"0","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","1","Get Offers By LoanID","0"
"0","Offer Simulation","0","Negative Tests: Simulation Offer","1","0","GetCar Details","0"
"0","User Service","0","Positive Tests: V2 APIs","1","0","Patch Update Password V2","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","13","0","Get Offers By LoanID","0"
"0","User Service","0","Negative Tests: V2 APIs","0","2","Get System Config v2","0"
"0","User Service","2","Positive Tests: V2 APIs","0","0","POST Enable User V2","0"
"0","User Service","0","Negative Tests: V2 APIs","0","1","Patch System Config v2","0"
"0","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","1","Get Loan documents by offer id","0"
"0","User Service","1","Positive Tests: V2 APIs","0","0","Post Refresh V2","0"
"0","Detach Tyre Specification","0","Positive Tests: Detach Tyre Specification","1","0","Complete Car","0"
"1","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","0","","0"
"1","Detach Tyre Specification","0","Positive Tests: Detach Tyre Specification","0","0","Get tyre specs after update car","0"
"0","User Service","0","Positive Tests: V2 APIs","2","0","Scenario: Verify Logout Does Not Affect Other Active Sessions","0"
"0","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","1","Get Accepted offer by loan id","0"
"0","Detach Tyre Specification","0","Positive Tests: Detach Tyre Specification","1","0","Create Inspection","0"
"0","TemplateMgtService API's","0","Positive Tests V1","0","4","POST V1   - Create Welcome Email Template","0"
"0","Offer Simulation","0","Negative Tests: Simulation Offer","1","0","Create Loan","0"
"0","TemplateMgtService API's","0","Positive Tests V1","0","1","POST V1   - Preview Template","0"
"0","Offer Simulation","0","Negative Tests: Simulation Offer","1","0","Token Expiry Validation","0"
"0","User Service","1","Positive Tests: V2 APIs","0","0","Scenario: Verify that after updating password, all sessions are logged out & user can login with new password only","0"
"0","User Service","1","Positive Tests: V2 APIs","0","0","Post logout-all by Admin","0"
"1","User Service","0","Negative Tests: V2 APIs","0","0","","0"
"0","TemplateMgtService API's","0","Positive Tests V1","0","1","PATCH V1 - Update Templates","0"
"0","TemplateMgtService API's","0","Positive Tests V1","0","1","POST V1   - Send Email Template","0"
"0","User Service","1","Positive Tests: V2 APIs","0","0","Delete System Config V2","0"
"0","Detach Tyre Specification","0","Negative Tests: Detach Tyre Specification","1","0","","0"
"0","TemplateMgtService API's","0","Positive Tests V1","0","1","POST V1   - Send SMS Template","0"
"0","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","1","Get booking info for logbook loan","0"
"0","Detach Tyre Specification","0","Negative Tests: Detach Tyre Specification","1","0","Create Car","0"
"0","User Service","0","Positive Tests: V2 APIs","1","0","Get Me V2","0"
"0","Detach Tyre Specification","0","Positive Tests: Detach Tyre Specification","1","0","Get TyreSpecs","0"
"0","User Service","1","Positive Tests: V2 APIs","0","0","POST Disable User V2","0"
"0","User Service","0","Positive Tests: V2 APIs","1","0","Post Lookup V2","0"
"0","User Service","0","Positive Tests: V2 APIs","1","0","Post User Login V2","0"
"0","Offer Simulation","0","Positive Tests: Simulation Offer","1","0","GetCar Details","0"
"0","Offer Simulation","0","Positive Tests: Simulation Offer","1","0","Accept Offer","0"
