"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Submit Loan Customer Preferences","4706","SubmitLoanPreferencesNegative - dealDiscount float","API_Regression_Suite","2026-03-11","passed","2026-03-11","autochek_api_negative.OfferSimulation.OfferSimulationNegative","Autochek_API_Automation","autochek_api_negative.OfferSimulation.OfferSimulationNegative","SubmitLoanPreferencesNegative"
"Validates negative test cases for Preview Template API using first created templateId map","0","PreviewTemplateNegativeTest - Passing token as empty","API_Regression_Suite","2026-03-11","skipped","2026-03-11","autochek_api_negative.Template.TemplateV1Negative.TemplateV1Negative","Autochek_API_Automation","autochek_api_negative.Template.TemplateV1Negative.TemplateV1Negative","PreviewTemplateNegativeTest"
"Submit Loan Customer Preferences","725","SubmitLoanPreferencesNegative - interestRateType spaces only","API_Regression_Suite","2026-03-11","passed","2026-03-11","autochek_api_negative.OfferSimulation.OfferSimulationNegative","Autochek_API_Automation","autochek_api_negative.OfferSimulation.OfferSimulationNegative","SubmitLoanPreferencesNegative"
"Submit Loan Customer Preferences","551","SubmitLoanPreferencesNegative - tyreBrand XSS injection","API_Regression_Suite","2026-03-11","passed","2026-03-11","autochek_api_negative.OfferSimulation.OfferSimulationNegative","Autochek_API_Automation","autochek_api_negative.OfferSimulation.OfferSimulationNegative","SubmitLoanPreferencesNegative"
"Create Inspection for the carID generated in Car Creation","795","PostCreateInspection - Null inspection_request_id","API_Regression_Suite","2026-03-11","passed","2026-03-11","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","Autochek_API_Automation","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","PostCreateInspection"
"Validate Template Schema API using sheet driven template names","0","GetTemplateSchemaTest - Template name contains numeric only value","API_Regression_Suite","2026-03-11","skipped","2026-03-11","autochek_api_negative.Template.TemplateV1Negative.TemplateV1Negative","Autochek_API_Automation","autochek_api_negative.Template.TemplateV1Negative.TemplateV1Negative","GetTemplateSchemaTest"
"Validates GET /v1/inventory/inspection_request with dynamic parameters - Negative Test","810","GetInspectionRequestNegative - Pass a mix of valid and invalid fields","API_Regression_Suite","2026-03-11","passed","2026-03-11","autochek_api_negative.InventoryService.DynamicResponseNegative","Autochek_API_Automation","autochek_api_negative.InventoryService.DynamicResponseNegative","GetInspectionRequestNegative"
"Validates GET /v2/origination/loans/{loan_id}/logbook/booking-info - Negative Test","584","GetBookingInfoForLogbookLoanNegative - Send loan_id as empty string","API_Regression_Suite","2026-03-11","passed","2026-03-11","autochek_api_negative.OriginationService.ResponsePayloadReductionV2APIsNegative","Autochek_API_Automation","autochek_api_negative.OriginationService.ResponsePayloadReductionV2APIsNegative","GetBookingInfoForLogbookLoanNegative"
"Validate negative scenarios for template creation based on sheet data","4","CreateEmailTemplate - account_id exceeds maximum allowed numeric length","API_Regression_Suite","2026-03-11","skipped","2026-03-11","autochek_api_negative.Template.TemplateV1Negative.TemplateV1Negative","Autochek_API_Automation","autochek_api_negative.Template.TemplateV1Negative.TemplateV1Negative","CreateEmailTemplate"
"Create Inspection for the carID generated in Car Creation","570","PostCreateInspection - Decimal number","API_Regression_Suite","2026-03-11","passed","2026-03-11","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","Autochek_API_Automation","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","PostCreateInspection"
"Submit Loan Customer Preferences","1790","SubmitLoanPreferencesNegative - tyreQuantity blank","API_Regression_Suite","2026-03-11","passed","2026-03-11","autochek_api_negative.OfferSimulation.OfferSimulationNegative","Autochek_API_Automation","autochek_api_negative.OfferSimulation.OfferSimulationNegative","SubmitLoanPreferencesNegative"
"Submit Loan Customer Preferences","850","SubmitLoanPreferencesNegative - Tyre Quantity not in allowed set","API_Regression_Suite","2026-03-11","failed","2026-03-11","autochek_api_negative.OfferSimulation.OfferSimulationNegative","Autochek_API_Automation","autochek_api_negative.OfferSimulation.OfferSimulationNegative","SubmitLoanPreferencesNegative"
"Validate negative scenarios for template creation based on sheet data","3","UpdateEmailTemplate - providerId is empty string while others are valid","API_Regression_Suite","2026-03-11","skipped","2026-03-11","autochek_api_negative.Template.TemplateV1Negative.TemplateV1Negative","Autochek_API_Automation","autochek_api_negative.Template.TemplateV1Negative.TemplateV1Negative","UpdateEmailTemplate"
"Submit Loan Customer Preferences","1506","SubmitLoanPreferencesNegative - requestedWarrantyPlan special characters","API_Regression_Suite","2026-03-11","passed","2026-03-11","autochek_api_negative.OfferSimulation.OfferSimulationNegative","Autochek_API_Automation","autochek_api_negative.OfferSimulation.OfferSimulationNegative","SubmitLoanPreferencesNegative"
"Create Inspection for the carID generated in Car Creation","816","PostCreateInspection - Value with leading/trailing spaces","API_Regression_Suite","2026-03-11","passed","2026-03-11","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","Autochek_API_Automation","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","PostCreateInspection"
"Submit Loan Customer Preferences","1350","SubmitLoanPreferencesNegative - dealDiscount no %","API_Regression_Suite","2026-03-11","passed","2026-03-11","autochek_api_negative.OfferSimulation.OfferSimulationNegative","Autochek_API_Automation","autochek_api_negative.OfferSimulation.OfferSimulationNegative","SubmitLoanPreferencesNegative"
"Create Inspection for the carID generated in Car Creation","605","PostCreateInspection - Very large numeric value","API_Regression_Suite","2026-03-11","passed","2026-03-11","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","Autochek_API_Automation","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","PostCreateInspection"
"Validate negative scenarios for template creation based on sheet data","2","UpdateEmailTemplate - providerId already mapped to another template (duplicate conflict)","API_Regression_Suite","2026-03-11","skipped","2026-03-11","autochek_api_negative.Template.TemplateV1Negative.TemplateV1Negative","Autochek_API_Automation","autochek_api_negative.Template.TemplateV1Negative.TemplateV1Negative","UpdateEmailTemplate"
"Submit Loan Customer Preferences","798","SubmitLoanPreferencesNegative - requestedWarrantyPlan blank","API_Regression_Suite","2026-03-11","passed","2026-03-11","autochek_api_negative.OfferSimulation.OfferSimulationNegative","Autochek_API_Automation","autochek_api_negative.OfferSimulation.OfferSimulationNegative","SubmitLoanPreferencesNegative"
