"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Business Owner - Nigeria","0","Loan Application","1","0","Filling My Loan Preferences Section","0"
"0","Business Owner - Nigeria","0","Equity Payment","1","0","Upload Equity Payment","0"
"0","Business Owner - Nigeria","0","Customer Verification","1","0","PATCH Customer Verification API","0"
"0","Business Owner - Nigeria","0","Business Owner  Documents","1","0","Approve Documents","0"
"0","Business Owner - Nigeria","0","Direct Debit Mandate","1","0","Direct Debit Mandate Form","0"
"0","Business Owner - Nigeria","0","Disbursement","1","0","Deal Activation","0"
"0","Business Owner - Nigeria","0","Business Owner Documents","1","0","Upload Documents","0"
"0","Business Owner - Nigeria","0","Car Creation","1","0","Car Creation Flow - Filling Create Car Form 5","0"
"0","Business Owner - Nigeria","0","Loan Application","1","0","Navigating to Loan Using LoanID","0"
"0","Business Owner - Nigeria","0","Business Owner Custom Documents","1","0","Approve Custom Document","0"
"0","Business Owner - Nigeria","0","Car Creation","1","0","Login into DealerPlus for Car Creation","0"
"0","Business Owner - Nigeria","0","Business Owner Custom Documents","1","0","Upload Custom Document","0"
"0","Business Owner - Nigeria","0","Business Owner Documents","1","0","Upload Extra Document","0"
"0","Business Owner - Nigeria","0","Loan Application","1","0","Navigating the Newly Created Car","0"
"0","Business Owner - Nigeria","0","Loan Application","1","0","Filling Quick Info Section","0"
"0","Business Owner - Nigeria","0","Car Creation","1","0","Car Creation Flow - Filling Create Car Form 4","0"
"0","Business Owner - Nigeria","0","Car Creation","1","0","Car Creation Flow - Filling Create Car Form 3","0"
"0","Business Owner - Nigeria","0","PPI Inspection","1","0","PPI Inspection for the Specific Car","0"
"0","Business Owner - Nigeria","0","Loan Application","1","0","Filling Terms And ConditionsForm Section","0"
"0","Business Owner - Nigeria","0","Loan Documents","1","0","Approve Loan Documents","0"
"0","Business Owner - Nigeria","0","Direct Debit Mandate","1","0","POST Direct Debit Mandate API","0"
"0","Business Owner - Nigeria","0","Loan Documents","1","0","Upload Loan Documents","0"
"0","Business Owner - Nigeria","0","Send Final Offer for Loan","1","0","Final Offer","0"
"0","Business Owner - Nigeria","0","Car Creation","1","0","Car Creation Flow - Filling Create Car Form 1","0"
"0","Business Owner - Nigeria","0","Loan Application","1","0","Filling My Profession Section","0"
"0","Business Owner - Nigeria","0","Car Creation","1","0","Listing Car API i.e Inventory","0"
"0","Business Owner - Nigeria","0","Disbursement","1","0","Hydra Process","0"
"0","Business Owner - Nigeria","0","Loan Application","1","0","Filling About Me Section","0"
"0","Business Owner - Nigeria","0","Car Creation","1","0","Car Creation Flow - Filling Create Car Form 6","0"
"0","Business Owner - Nigeria","0","Car Creation","1","0","Car Creation Flow - Filling Create Car Form 2","0"
