"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2585","MyLoanPreferencesInfo_BO","All Test Suite","2026-03-26","passed","2026-03-26","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","MyLoanPreferencesInfo_BO"
"","39012","EquityPayment_BO","All Test Suite","2026-03-26","passed","2026-03-26","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","EquityPayment_BO"
"","13393","CustomerVerification_BO","All Test Suite","2026-03-26","passed","2026-03-26","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","CustomerVerification_BO"
"","70239","ApproveDocs_BO","All Test Suite","2026-03-26","passed","2026-03-26","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","ApproveDocs_BO"
"","54282","DirectDebitMandateForm_BO","All Test Suite","2026-03-26","passed","2026-03-26","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","DirectDebitMandateForm_BO"
"","51070","UnderWriterProcess_BO","All Test Suite","2026-03-26","passed","2026-03-26","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","UnderWriterProcess_BO"
"","135039","uploadBODocsDP_BO","All Test Suite","2026-03-26","passed","2026-03-26","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","uploadBODocsDP_BO"
"","2737","CreateCar_Form5_BO","All Test Suite","2026-03-26","passed","2026-03-26","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","CreateCar_Form5_BO"
"","111491","NavigateToLoanDP_BO","All Test Suite","2026-03-26","passed","2026-03-26","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","NavigateToLoanDP_BO"
"","18082","ApproveCustomDocuments_BO","All Test Suite","2026-03-26","passed","2026-03-26","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","ApproveCustomDocuments_BO"
