"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Smoke Suite","1","New User Happy Flow","12","14","New User Registration","0"
"4","Smoke Suite","1","New User Happy Flow","0","0","","0"
"0","Registration Phase","0","Salaried Flow","1","1","Salary date","0"
"0","Gift Cards","0","Gift Card Details","2","0","Buy Now With Gift Card","0"
"0","","0","Raise CIBIL Dispute","2","0","Reason for Dispute","0"
"0","Registration Phase","0","Salaried Flow","11","0","Personal Info","0"
"0","Registration Phase","0","Salaried Flow","31","0","Professional Info","0"
"0","Registration Phase","0","Salaried Flow","8","0","present Address","0"
"1","","0","Raise CIBIL Dispute","1","0","Loan Type Selection","0"
"11","","3","","14","0","","0"
"1","Registration Phase","2","","0","0","","0"
"0","","0","Raise CIBIL Dispute","2","0","Upload Support Document","0"
"0","","0","Contact Us","1","0","Sub Query Dynamic Options","0"
"0","Withdraw Screen","0","Withdraw","1","1","Promo Code","0"
"0","Gift Cards","0","Gift Card Details","6","0","Quantity Management","0"
"0","","0","Contact Us","3","1","Attachment Upload","0"
"0","","0","Raise CIBIL Dispute","1","0","Dispute Details","0"
"0","Gift Cards","0","Gift Card Details","2","0","Buy Now Without Gift Card","0"
"1","","0","Contact Us","1","0","Query Dropdown","0"
"0","","0","Contact Us","1","0","Pre-populated User Details","0"
"0","","0","Contact Us","1","0","Message Field Validation","0"
"0","","0","Raise CIBIL Dispute","1","0","CIBIL Dispute Ticket History","0"
"0","","0","Raise CIBIL Dispute","1","0","Loan ID Validation","0"
"1","","0","Contact Us","1","0","Successful Query Submission","0"
"0","Gift Cards","0","Gift Card Details","2","0","Amount to Pay Calculation","0"
"0","","0","Raise CIBIL Dispute","2","0","Credit Bureau Selection","0"
"2","","0","Contact Us","0","0","Sub Query Reset on Query Change","0"
"0","Gift Cards","0","Sort","1","0","Price Sort Order","0"
"0","","0","Contact Us","1","0","Message Character Limit Validation","0"
"0","","0","Raise CIBIL Dispute","2","0","Description Field Validation","0"
"0","","0","Raise CIBIL Dispute","1","0","Submit Dispute","0"
"0","","0","Contact Us","1","1","Attachment Size Validation","0"
"0","","0","Raise CIBIL Dispute","1","0","Loan ID Selection","0"
"0","","0","Contact Us","0","1","Mandatory Field Validation","0"
"0","Withdraw Screen","1","","0","0","","0"
"0","","0","Raise CIBIL Dispute","1","0","Ticket History","0"
"0","Smoke Suite","0","Withdraw","0","2","Smoke","0"
"0","Smoke Suite","0","New User Happy Flow","0","2","Smoke","0"
"0","","0","Raise CIBIL Dispute","1","0","Submit Button State","0"
"0","","0","Raise CIBIL Dispute","1","0","Ticket History Navigation","0"
