"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5343","SMK_002 - Verify PAN registration step","Capital Now Mobile Test Suite","2026-08-24","passed","2026-08-24","org.capital.now.mobile.test.SmokeSuite.NewUserFlowTest","Execution on Android Device (Device 1)","org.capital.now.mobile.test.SmokeSuite.NewUserFlowTest","test02_PanRegistration"
"","114087","SMK_006 - Verify alternate contact details step","Default Suite","2026-09-01","failed","2026-09-01","org.capital.now.mobile.test.SmokeSuite.NewUserFlowTest","capitalNow-0","org.capital.now.mobile.test.SmokeSuite.NewUserFlowTest","test06_AlternateDetails"
"","1","setup","Default Suite","2026-08-17","broken","2026-08-17","org.capital.now.mobile.test.SmokeSuite.NewUserFlowTest","capitalNow-0","org.capital.now.mobile.test.SmokeSuite.NewUserFlowTest","setup"
"","1","setup","Capital Now Mobile Test Suite","2026-08-24","failed","2026-08-24","org.capital.now.mobile.test.SmokeSuite.NewUserFlowTest","Execution on Android Device (Device 1)","org.capital.now.mobile.test.SmokeSuite.NewUserFlowTest","setup"
"Verify selected salary date option remains intact when network interruption occurs during submission and user can successfully navigate to Work Experience page after network restoration. Note: Option is NOT retained after app relaunch — this is expected behavior.","2320","SF_045 - Verify selected salary date option is retained correctly after network interruption","Capital Now - Registration Suite Exclusions","2026-09-01","skipped","2026-09-01","org.capital.now.mobile.test.Registration.SalariedFlow.SalaryDateSelectionTest","Registration Package Execution-0","org.capital.now.mobile.test.Registration.SalariedFlow.SalaryDateSelectionTest","SF_045_verifySalaryDateRetainedAfterNetworkInterruption"
"","52852","Verify tapping Buy Now with adding/selecting a gift card initiate the purchase/payment flow.","Default Suite","2026-09-01","passed","2026-09-01","org.capital.now.mobile.test.Support.GiftCardsTest","capitalNow-0","org.capital.now.mobile.test.Support.GiftCardsTest","verifyBuyNowWithGiftCardInitiatePurchase"
"Verify Reason for Dispute dropdown displays all configured dispute reasons, allows multiple reasons to be selected as tags, tags can be removed, and removed options reappear as unchecked in dropdown.","6977","CIBIL_005 - Verify Reason for Dispute dropdown displays available options, allows multiple values to be selected and selected tags can be removed","Capital Now Mobile Test Suite","2026-08-19","passed","2026-08-19","org.capital.now.mobile.test.ExistingUserFlow.RaiseCIBILDisputeTest","Execution on Android Device (Device 2)","org.capital.now.mobile.test.ExistingUserFlow.RaiseCIBILDisputeTest","verifyReasonForDisputeAllowsMultipleSelectionsAndRemoval"
"Verify Continue button remains disabled when alphabets, special characters or mixed invalid values are entered in permanent and present pincode fields.","116881","SF_014 - Verify Continue button is disabled when invalid characters are entered in pincode fields","Capital Now - Registration Suite Exclusions","2026-09-01","passed","2026-09-01","org.capital.now.mobile.test.Registration.SalariedFlow.PersonalInformationFieldsTest","Registration Package Execution-0","org.capital.now.mobile.test.Registration.SalariedFlow.PersonalInformationFieldsTest","SF_014_verifyContinueButtonDisabledForInvalidPincodeCharacters"
"Verify that company search results are not displayed when the user enters less than 3 characters in the Company Name search field.","19317","SF_026 — Verify Company Name field does not show the list when entered value is less than 3 characters","Capital Now - Registration Suite Exclusions","2026-09-01","passed","2026-09-01","org.capital.now.mobile.test.Registration.SalariedFlow.ProfessionalInformationFieldsTest","Registration Package Execution-0","org.capital.now.mobile.test.Registration.SalariedFlow.ProfessionalInformationFieldsTest","verifyCompanySearchNotDisplayedForLessThanThreeCharacters"
"Verify Residence Type dropdown opens on click, displays all 5 options ","5397","SF_054_SF_055 - Verify Residence Type dropdown opens, displays all options","Capital Now - Registration Suite Exclusions","2026-09-01","passed","2026-09-01","org.capital.now.mobile.test.Registration.SalariedFlow.PresentAddressFieldsTest","Registration Package Execution-0","org.capital.now.mobile.test.Registration.SalariedFlow.PresentAddressFieldsTest","verifyResidenceTypeDropdownOptionsAndSelection"
"","0","resetAppState","Default Suite","2026-08-18","broken","2026-08-18","org.capital.now.mobile.test.SmokeSuite.NewUserFlowTest","capitalNow-0","org.capital.now.mobile.test.SmokeSuite.NewUserFlowTest","resetAppState"
"Verify Loan Type dropdown is visible on the Raise CIBIL Dispute screen and all valid loan types — Active, Closed, NA — can be selected successfully.","18582","CIBIL_002 - Verify Loan Type dropdown is displayed and user can select a valid loan type","Capital Now Mobile Test Suite","2026-08-20","passed","2026-08-20","org.capital.now.mobile.test.ExistingUserFlow.RaiseCIBILDisputeTest","Execution on Android Device (Device 2)","org.capital.now.mobile.test.ExistingUserFlow.RaiseCIBILDisputeTest","verifyLoanTypeDropdownDisplayedAndSelectable"
"Verify Continue button remains disabled when alphabets, special characters or mixed invalid values are entered in monthly salary field.","53213","SF_030 - Verify Continue CTA remains disabled when Monthly Salary field contains alphabets or invalid special characters","Capital Now - Registration Suite Exclusions","2026-09-01","passed","2026-09-01","org.capital.now.mobile.test.Registration.SalariedFlow.ProfessionalInformationFieldsTest","Registration Package Execution-0","org.capital.now.mobile.test.Registration.SalariedFlow.ProfessionalInformationFieldsTest","verifyContinueButtonDisabledForInvalidSalaryCharacters"
"Verify all currently available gift cards are displayed with their respective name and discount percentage.","65809","GC_002","Default Suite","2026-09-01","passed","2026-09-01","org.capital.now.mobile.test.Support.GiftCardsTest","capitalNow-0","org.capital.now.mobile.test.Support.GiftCardsTest","verifyAllGiftCardsDisplayedWithNameAndDiscount"
"","1","setup","Capital Now - Registration Suite Exclusions","2026-09-01","broken","2026-09-01","org.capital.now.mobile.test.Registration.SalariedFlow.SalaryDateSelectionTest","Registration Package Execution-0","org.capital.now.mobile.test.Registration.SalariedFlow.SalaryDateSelectionTest","setup"
