"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Self Employed - Nigeria","0","Car Creation","1","0","Car Creation Flow - Filling Create Car Form 5","0"
"0","Business Owner - Nigeria","0","Loan Application","1","0","Navigating the Newly Created Car","0"
"0","Self Employed - Nigeria","0","Loan Application","1","0","Navigating the Newly Created Car","0"
"0","Self Employed - Nigeria","0","Loan Application","1","0","Filling My Profession Section","0"
"0","Self Employed - Nigeria","0","Car Creation","1","0","Car Creation Flow - Filling Create Car Form 4","0"
"0","Self Employed - Nigeria","0","Car Creation","1","0","Car Creation Flow - Filling Create Car Form 6","0"
"0","Business Owner - Nigeria","0","Car Creation","1","0","Car Creation Flow - Filling Create Car Form 6","0"
"0","Self Employed - Nigeria","0","Car Creation","1","0","Login into DealerPlus for Car Creation","0"
"0","Self Employed - Nigeria","0","Car Creation","1","0","Car Creation Flow - Filling Create Car Form 1","0"
"0","Self Employed - Nigeria","1","Loan Application","0","0","Navigating to Loan Using LoanID","0"
"0","Salary Earner - Nigeria","0","Car Creation","1","0","Car Creation Flow - Filling Create Car Form 3","0"
"0","Self Employed - Nigeria","0","Car Creation","1","0","Car Creation Flow - Filling Create Car Form 2","0"
"0","Salary Earner - Nigeria","1","Loan Application","0","0","Navigating to Loan Using LoanID","0"
"0","Business Owner - Nigeria","0","Car Creation","1","0","Car Creation Flow - Filling Create Car Form 3","0"
"0","Self Employed - Nigeria","0","Loan Application","1","0","Filling Terms And ConditionsForm Section","0"
"0","Salary Earner - Nigeria","0","Loan Application","1","0","Filling About Me Section","0"
"0","Business Owner - Nigeria","0","Loan Application","1","0","Filling Terms And ConditionsForm Section","0"
"0","Self Employed - Nigeria","0","Car Creation","1","0","Car Creation Flow - Filling Create Car Form 3","0"
"0","Business Owner - Nigeria","0","Car Creation","1","0","Car Creation Flow - Filling Create Car Form 1","0"
"0","Salary Earner - Nigeria","0","Loan Application","1","0","Filling Quick Info Section","0"
"0","Business Owner - Nigeria","0","Car Creation","1","0","Car Creation Flow - Filling Create Car Form 5","0"
"0","Salary Earner - Nigeria","0","Car Creation","1","0","Car Creation Flow - Filling Create Car Form 4","0"
"0","Salary Earner - Nigeria","0","Car Creation","1","0","Car Creation Flow - Filling Create Car Form 5","0"
"0","Business Owner - Nigeria","0","Loan Application","1","0","Filling Quick Info Section","0"
"0","Salary Earner - Nigeria","0","Car Creation","1","0","Listing Car API i.e Inventory","0"
"0","Salary Earner - Nigeria","0","Login Flow","1","0","Login into DealerPlus for Car Creation","0"
"0","Business Owner - Nigeria","0","Loan Application","1","0","Filling My Profession Section","0"
"0","Salary Earner - Nigeria","0","Loan Application","1","0","Filling Terms And ConditionsForm Section","0"
"0","Salary Earner - Nigeria","0","Loan Application","1","0","Filling My Loan Preferences Section","0"
"0","Self Employed - Nigeria","0","Loan Application","1","0","Filling Quick Info Section","0"
"0","Salary Earner - Nigeria","0","Car Creation","1","0","Car Creation Flow - Filling Create Car Form 2","0"
"0","Salary Earner - Nigeria","0","Car Creation","1","0","Car Creation Flow - Filling Create Car Form 6","0"
"0","Salary Earner - Nigeria","0","Loan Application","1","0","Navigating the Newly Created Car","0"
"0","Self Employed - Nigeria","0","Car Creation","1","0","Listing Car API i.e Inventory","0"
"0","Self Employed - Nigeria","0","Loan Application","1","0","Filling My Loan Preferences Section","0"
"0","Business Owner - Nigeria","0","Car Creation","1","0","Login into DealerPlus for Car Creation","0"
"0","Business Owner - Nigeria","0","Car Creation","1","0","Listing Car API i.e Inventory","0"
"0","Salary Earner - Nigeria","0","Car Creation","1","0","Car Creation Flow - Filling Create Car Form 1","0"
"0","Business Owner - Nigeria","0","Loan Application","1","0","Filling My Loan Preferences Section","0"
"0","Business Owner - Nigeria","0","Loan Application","1","0","Filling About Me Section","0"
"0","Salary Earner - Nigeria","0","Loan Application","1","0","Filling My Profession Section","0"
"0","Self Employed - Nigeria","0","Loan Application","1","0","Filling About Me Section","0"
"0","Business Owner - Nigeria","0","Car Creation","1","0","Car Creation Flow - Filling Create Car Form 4","0"
"0","Business Owner - Nigeria","0","Car Creation","1","0","Car Creation Flow - Filling Create Car Form 2","0"
