"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3236","CreateCar_Form5_SP","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","CreateCar_Form5_SP"
"","12251","NavigateToCarDP_BO","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","NavigateToCarDP_BO"
"","11907","NavigateToCarDP_SP","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","NavigateToCarDP_SP"
"","20365","MyProfessionInfo_SP","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","MyProfessionInfo_SP"
"","23217","CreateCar_Form4_SP","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","CreateCar_Form4_SP"
"","6809","CreateCar_Form6_SP","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","CreateCar_Form6_SP"
"","6531","CreateCar_Form6_BO","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","CreateCar_Form6_BO"
"","19529","DealerPlusLogin_SP","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","DealerPlusLogin_SP"
"","61572","CreateCar_Form1_SP","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","CreateCar_Form1_SP"
"","220374","NavigateToLoanDP_SP","All Test Suite","2026-03-30","failed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","NavigateToLoanDP_SP"
"","20935","CreateCar_Form3","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","CreateCar_Form3"
"","7426","CreateCar_Form2_SP","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","CreateCar_Form2_SP"
"","221580","NavigateToLoanDP","All Test Suite","2026-03-30","failed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","NavigateToLoanDP"
"","21486","CreateCar_Form3_BO","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","CreateCar_Form3_BO"
"","9690","TermsAndConditionsForm_SP","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","TermsAndConditionsForm_SP"
"","13721","AboutMeInfo","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","AboutMeInfo"
"","45480","TermsAndConditionsForm_BO","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","TermsAndConditionsForm_BO"
"","20452","CreateCar_Form3_SP","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","CreateCar_Form3_SP"
"","83122","CreateCar_Form1_BO","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","CreateCar_Form1_BO"
"","87944","QuickInfo","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","QuickInfo"
"","3585","CreateCar_Form5_BO","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","CreateCar_Form5_BO"
"","23597","CreateCar_Form4","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","CreateCar_Form4"
"","3008","CreateCar_Form5","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","CreateCar_Form5"
"","90013","QuickInfo_BO","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","QuickInfo_BO"
"","19444","CarListingAPI","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","CarListingAPI"
"","19646","DealerPlusLogin","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","DealerPlusLogin"
"","28990","MyProfessionInfo_BO","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","MyProfessionInfo_BO"
"","11823","TermsAndConditionsForm","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","TermsAndConditionsForm"
"","2867","MyLoanPreferencesInfo","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","MyLoanPreferencesInfo"
"","88483","QuickInfo_SP","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","QuickInfo_SP"
"","8082","CreateCar_Form2","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","CreateCar_Form2"
"","6825","CreateCar_Form6","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","CreateCar_Form6"
"","12206","NavigateToCarDP","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","NavigateToCarDP"
"","16652","CarListingAPI_SP","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","CarListingAPI_SP"
"","2602","MyLoanPreferencesInfo_SP","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_SP","MyLoanPreferencesInfo_SP"
"","21456","DealerPlusLogin_BO","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","DealerPlusLogin_BO"
"","10841","CarListingAPI_BO","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","CarListingAPI_BO"
"","57277","CreateCar_Form1","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow","CreateCar_Form1"
"","2528","MyLoanPreferencesInfo_BO","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","MyLoanPreferencesInfo_BO"
"","12396","AboutMeInfo_BO","All Test Suite","2026-03-30","passed","2026-03-30","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","C:/Selenium/EndToEndLoan_UIAutomation","EndToEndNigeriaLoanFlowTest.EndToEnd_Nigeria_LoanFlow_BO","AboutMeInfo_BO"
