"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","ORM Integration","0","","7","0","","0"
"0","Auto Save","0","Create Quote","6","0","","0"
"0","Specific Listing Preview","0","Specific Tables Listing Preview","10","0","","0"
"0","Listing Preview","0","Tables Listing Preview","20","0","","0"
"0","Listing Preview","0","Report Listing Preview","20","0","","0"
"0","Specific Listing Preview","0","Specific Reports Listing Preview","9","0","","0"
"0","NTAR Module","0","","7","0","","0"
"0","Quotes","0","Quote Creation","3","0","Existing","0"
"0","Quotes","0","Misc Quote","1","0","Create Misc Quote","0"
"0","Invoice for AH-ON Quotes","0","","4","0","","0"
"0","Listing Preview","0","Creditor Listing Preview","8","0","","0"
"0","Specific Listing Preview","0","Specific Creditor Listing Preview","4","0","","0"
"0","Specific Listing Preview","0","Specific Quote Listing Preview","2","0","","0"
"0","Invoice for AH-OFF Quotes","0","","3","0","","0"
"0","Specific Listing Preview","0","Specific Debtor Listing Preview","3","0","","0"
"0","Listing Preview","0","Quote Listing Preview","4","0","","0"
"0","Listing Preview","0","Debtor Listing Preview","6","0","","0"
"0","Quotes","0","Quote Template","1","0","Create Template","0"
"0","Auth-Setup","0","CSR","1","0","","0"
"0","Quotes","0","Quote Creation","3","0","New Customer","0"
"0","Listing Preview","0","Admin Listing Preview","4","0","","0"
"0","Auth-Setup","0","User","1","0","","0"
"0","Quotes","0","Quote Template","1","0","Delete Template","0"
"0","Auth-Setup","0","Admin","1","0","","0"
"0","Tables","0","Contact Profile","1","0","Inactivate","0"
"0","Tables","0","Contact Profile","1","0","Create","0"
