"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38966","Submit Quote to ORM","flexiquote-csr","2026-09-02","passed","2026-09-02","ORM Integration","tests\regression\orm.csr.spec.ts","",""
"","62991","Edit and Verify Quote","flexiquote-csr","2026-09-02","passed","2026-09-02","Auto Save","tests\autoSave\createQuote.csr.spec.ts","",""
"","9264","Specific Insurer Listing Preview","flexiquote-csr","2026-09-02","passed","2026-09-02","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","9473","Quick Item Listing Preview","flexiquote-csr","2026-09-02","passed","2026-09-02","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","11705","Creditor List Listing Preview","flexiquote-csr","2026-09-02","passed","2026-09-02","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","26825","Load RFQ","flexiquote-csr","2026-09-02","passed","2026-09-02","ORM Integration","tests\regression\orm.csr.spec.ts","",""
"","11425","Specific Due In and Due Out Listing Preview","flexiquote-csr","2026-09-02","passed","2026-09-02","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","34615","Verify Paint and Misc Sections Are Visible when changned NEW Parts to USED Parts","flexiquote-csr","2026-09-02","passed","2026-09-02","NTAR Quote","tests\regression\ntar.csr.spec.ts","",""
"","37193","Create Quote with Existing Customer","flexiquote-user","2026-09-02","passed","2026-09-02","Create Quote","tests\smoke\createQuote.spec.ts","",""
"","12015","Specific Job Invoiced Listing Preview","flexiquote-csr","2026-09-02","passed","2026-09-02","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","8907","Specific Outstanding Credit Listing Preview","flexiquote-csr","2026-09-02","passed","2026-09-02","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","7681","Other Labour Listing Preview","flexiquote-csr","2026-09-02","passed","2026-09-02","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","8813","Specific Quick Items Listing Preview","flexiquote-csr","2026-09-02","passed","2026-09-02","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","14723","Create a Misc Quote with a random customer","flexiquote-user","2026-09-02","passed","2026-09-02","Create Misc Quote","tests\smoke\createMiscQuote.spec.ts","",""
"","11589","Payment List Listing Preview","flexiquote-csr","2026-09-02","passed","2026-09-02","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","31214","Delete All Parts","flexiquote-csr","2026-09-02","passed","2026-09-02","Auto Save","tests\autoSave\createQuote.csr.spec.ts","",""
"","31383","Invoice Creation","flexiquote-csr","2026-09-02","passed","2026-09-02","Invoice for AH-ON Quotes","tests\smoke\createInvoiceAHON.csr.spec.ts","",""
"","31871","Quote Creation","flexiquote-csr","2026-09-02","passed","2026-09-02","Invoice for AH-ON Quotes","tests\smoke\createInvoiceAHON.csr.spec.ts","",""
"","27823","Verify Paint and Misc Sections Are Removed When Changing USED Parts to NEW Parts","flexiquote-csr","2026-09-02","passed","2026-09-02","NTAR Quote","tests\regression\ntar.csr.spec.ts","",""
"","8882","Specific Creditor List Listing Preview","flexiquote-csr","2026-09-02","passed","2026-09-02","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","8219","Unscheduled Model Listing Preview","flexiquote-csr","2026-09-02","passed","2026-09-02","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","32217","Verify Line Number Sequence","flexiquote-csr","2026-09-02","passed","2026-09-02","Auto Save","tests\autoSave\createQuote.csr.spec.ts","",""
"","12155","Payment Entry Listing Preview","flexiquote-csr","2026-09-02","passed","2026-09-02","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","36275","Verify Paint and Misc Sections Are Removed After Deleting EXCHANGED Parts","flexiquote-csr","2026-09-02","passed","2026-09-02","NTAR Quote","tests\regression\ntar.csr.spec.ts","",""
"","10238","Specific Purchase Orders Listing Preview","flexiquote-csr","2026-09-02","passed","2026-09-02","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
