"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","462","PoolPointList","ALL API TEST SUITE","2026-05-05","passed","2026-05-05","Negative_Scenario.PoolPoint_Negative","TESTV2","Negative_Scenario.PoolPoint_Negative","PoolPointList"
"","505","PoolPointList","ALL API TEST SUITE","2026-05-05","passed","2026-05-05","Negative_Scenario.PoolPoint_Negative","TESTV2","Negative_Scenario.PoolPoint_Negative","PoolPointList"
"","480","Peformancelist","ALL API TEST SUITE","2026-05-05","passed","2026-05-05","Negative_Scenario.Performance_Negative","TESTV2","Negative_Scenario.Performance_Negative","Peformancelist"
"","627","Route","ALL API TEST SUITE","2026-05-05","passed","2026-05-05","Negative_Scenario.GlobalMap_Negative","TESTV2","Negative_Scenario.GlobalMap_Negative","Route"
"","502","GetTop3EarningsByParticipant","ALL API TEST SUITE","2026-05-05","passed","2026-05-05","Negative_Scenario.Earnings_Negative","TESTV2","Negative_Scenario.Earnings_Negative","GetTop3EarningsByParticipant"
"","466","Earningsdistribution","ALL API TEST SUITE","2026-05-05","passed","2026-05-05","Negative_Scenario.Earnings_Negative","TESTV2","Negative_Scenario.Earnings_Negative","Earningsdistribution"
"","462","FilterData","ALL API TEST SUITE","2026-05-05","passed","2026-05-05","Negative_Scenario.Filter_Negative","TESTV2","Negative_Scenario.Filter_Negative","FilterData"
"","492","FilterData","ALL API TEST SUITE","2026-05-05","passed","2026-05-05","Negative_Scenario.Filter_Negative","TESTV2","Negative_Scenario.Filter_Negative","FilterData"
"","627","ManageDashboard","ALL API TEST SUITE","2026-05-05","passed","2026-05-05","Negative_Scenario.Dashboard_Negative","TESTV2","Negative_Scenario.Dashboard_Negative","ManageDashboard"
"","493","Savenotifications","ALL API TEST SUITE","2026-05-05","failed","2026-05-05","Negative_Scenario.Notifications_Negative","TESTV2","Negative_Scenario.Notifications_Negative","Savenotifications"
"","468","GetMinMaxAvgBySegment","ALL API TEST SUITE","2026-05-05","passed","2026-05-05","Negative_Scenario.Earnings_Negative","TESTV2","Negative_Scenario.Earnings_Negative","GetMinMaxAvgBySegment"
"","485","PoolPointList","ALL API TEST SUITE","2026-05-05","passed","2026-05-05","Negative_Scenario.PoolPoint_Negative","TESTV2","Negative_Scenario.PoolPoint_Negative","PoolPointList"
"","450","SpeedPercentage","ALL API TEST SUITE","2026-05-05","passed","2026-05-05","Negative_Scenario.Performance_Negative","TESTV2","Negative_Scenario.Performance_Negative","SpeedPercentage"
"","481","ProjectedRoute","ALL API TEST SUITE","2026-05-05","passed","2026-05-05","Negative_Scenario.GlobalMap_Negative","TESTV2","Negative_Scenario.GlobalMap_Negative","ProjectedRoute"
"","537","PoolEarnings","ALL API TEST SUITE","2026-05-05","passed","2026-05-05","Negative_Scenario.MarketData_Negative","TESTV2","Negative_Scenario.MarketData_Negative","PoolEarnings"
"","466","ReadUnreadNotifications","ALL API TEST SUITE","2026-05-05","failed","2026-05-05","Negative_Scenario.Notifications_Negative","TESTV2","Negative_Scenario.Notifications_Negative","ReadUnreadNotifications"
"","482","ArchiveNotifications","ALL API TEST SUITE","2026-05-05","passed","2026-05-05","Negative_Scenario.Notifications_Negative","TESTV2","Negative_Scenario.Notifications_Negative","ArchiveNotifications"
"","944","DashboardList","ALL API TEST SUITE","2026-05-05","failed","2026-05-05","Negative_Scenario.Dashboard_Negative","TESTV2","Negative_Scenario.Dashboard_Negative","DashboardList"
"","496","GetEarningsByParticipant","ALL API TEST SUITE","2026-05-05","passed","2026-05-05","Negative_Scenario.Earnings_Negative","TESTV2","Negative_Scenario.Earnings_Negative","GetEarningsByParticipant"
"","1197","Earningsdistribution","ALL API TEST SUITE","2026-05-05","failed","2026-05-05","Negative_Scenario.Earnings_Negative","TESTV2","Negative_Scenario.Earnings_Negative","Earningsdistribution"
"","1001","VoyageTracking","ALL API TEST SUITE","2026-05-05","passed","2026-05-05","Negative_Scenario.Vessel_Negative","TESTV2","Negative_Scenario.Vessel_Negative","VoyageTracking"
"","4197","SailingTime","ALL API TEST SUITE","2026-05-05","passed","2026-05-05","Negative_Scenario.Vessel_Negative","TESTV2","Negative_Scenario.Vessel_Negative","SailingTime"
"","499","GetTop3EarningsByParticipant","ALL API TEST SUITE","2026-05-05","passed","2026-05-05","Negative_Scenario.Earnings_Negative","TESTV2","Negative_Scenario.Earnings_Negative","GetTop3EarningsByParticipant"
"","1627","Peformancelist","ALL API TEST SUITE","2026-05-05","failed","2026-05-05","Negative_Scenario.Performance_Negative","TESTV2","Negative_Scenario.Performance_Negative","Peformancelist"
"","872","PoolPointList","ALL API TEST SUITE","2026-05-05","failed","2026-05-05","Negative_Scenario.PoolPoint_Negative","TESTV2","Negative_Scenario.PoolPoint_Negative","PoolPointList"
"","480","ArchiveNotifications","ALL API TEST SUITE","2026-05-05","passed","2026-05-05","Negative_Scenario.Notifications_Negative","TESTV2","Negative_Scenario.Notifications_Negative","ArchiveNotifications"
"","3472","VesselOverview","ALL API TEST SUITE","2026-05-05","failed","2026-05-05","Negative_Scenario.Vessel_Negative","TESTV2","Negative_Scenario.Vessel_Negative","VesselOverview"
"","486","Earningsdistribution","ALL API TEST SUITE","2026-05-05","passed","2026-05-05","Negative_Scenario.Earnings_Negative","TESTV2","Negative_Scenario.Earnings_Negative","Earningsdistribution"
"","693","GetEarningsByYard","ALL API TEST SUITE","2026-05-05","failed","2026-05-05","Negative_Scenario.Earnings_Negative","TESTV2","Negative_Scenario.Earnings_Negative","GetEarningsByYard"
