"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","TESTV2","23","Pool Point","100","0","Negative Flow","0"
"0","TESTV2","62","Performance","231","0","Negative Flow","0"
"0","TESTV2","44","GlobalMap","100","0","Negative Flow","0"
"0","TESTV2","130","Earnings","398","0","Negative Flow","0"
"0","TESTV2","28","Filter","121","0","Negative Flow","0"
"0","TESTV2","41","Dashboard","96","0","Negative Flow","0"
"0","TESTV2","38","Notifications","100","0","Negative Flow","0"
"0","TESTV2","0","MarketData","131","0","Negative Flow","0"
"0","TESTV2","67","Vessel","195","0","","0"
"0","TESTV2","0","Compare Vessels","62","0","Negative Flow","0"
"0","TESTV2","40","EUETS","116","0","Negative Flow","0"
"0","TESTV2","4","FuelEU","113","0","Negative Flow","0"
"0","TESTV2","16","Pool Documents","29","0","Negative Flow","0"
