"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to Inventory Set Up","2","0","Inventory Creation-Positive Flow","0"
"1","Seller Dashboard","0","Instore Digital Ads","0","0","This flow belongs Instore Digital Ads-POS","0"
"0","Seller Dashboard","0","Display Ads Page","1","0","This flow belongs Inventory Status Validations","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to Ad Format Set Up","1","0","Ad Format Creation-Positive Flow","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to custom channel Creation","1","0","Custom Channel Creation - Positive Flow","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to User Management- Ops Users","1","0","OpsUser Operations-Positive Flow","0"
"0","OSMOS PULSE - TTYA","0","This flow belongs to communication template creation","1","0","Email Communication Template Creation - Positive Flow","0"
"0","OSMOS PULSE - TTYA","0","This flow belongs Creating Channel for user Communication","1","0","Whatsapp Channel Creation Negative Flow","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to Pre-Auction Package Page","5","0","Package Creation - Negative","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to Sponsorship Ads  Inventory Set Up","2","0","Inventory Creation-Positive Flow","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to User Management- Super Admin Users","1","0","Super Admin Operations-Positive Flow","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to Ad Format Creation","1","0","Image Ad Format Creation","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to Build Your Own Targeting- Key Value setUp","1","0","Key Value setUp - Negative Flow","0"
"0","OSMOS PULSE - In Store Digital","1","This flow belongs to InStore Digital","1","0","Video Ad format Creation","0"
"0","Seller Dashboard","0","Offsite Ads","6","0","This flow belongs to the Offsite Ads Campaigns","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to Finance Advertiser Management tab operations","1","0","Finance-Positive Flow","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to Build Your Own Targeting- Key Value setUp","1","0","Key Value setUp-Positive Flow","0"
"0","OSMOS PULSE - TTYA","0","This flow belongs to communication template creation","1","0","In-App Communication Template Creation - Negative Flow","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to Product Ads Yield Control","1","0","Product Ads Yield Control-Negative Flow","0"
"0","OSMOS PULSE - Admin Dashboard","0","Pre Auction Page","1","0","Bookings Dashboard","0"
"1","Seller Dashboard","0","Instore Digital Ads","0","0","This flow belongs Instore Digital Ads-SCO","0"
"0","Seller Dashboard","0","Instore Digital Ads","2","0","This flow belongs Instore Digital Ads-Digital","0"
"0","Seller Dashboard","0","Dashboard Page","1","0","This flow belongs dashboard operations","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to Page Set Up","1","0","Page Creation-Positive Flow","0"
"0","Seller Dashboard","0","Pre Auction Page","2","0","This flow belongs to Pre Auction Package Page","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to Support","1","0","Support-Validation Flow","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to User Management-Super Admin Users","1","0","Super Admin Operations-Negative Flow","0"
"0","OSMOS Seller","0","This flow belongs to Flexi Package Booking","2","0","Package Booking - Positive + Negative Flow","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to Change History Feature","2","0","Validate Change History Page Elements","0"
"0","Seller Dashboard","0","Performance Page","1","0","This flow belongs to search only campaign creation and cloning","0"
"0","Seller Dashboard","0","Pre Auction Page","1","0","This flow belongs to Pre Auction Booking Page","0"
"0","OSMOS PULSE - TTYA","0","This flow belongs Creating Channel for user Communication","1","0","SMS Channel Creation Positive Flow","0"
"0","OSMOS PULSE - TTYA","0","This flow belongs to communication template creation","1","0","In-App Communication Template Creation - Positive Flow","0"
"0","OSMOS PULSE - TTYA","0","This flow belongs to communication template creation","1","0","WhatsApp Communication Template Creation - Negative Flow","0"
"0","OSMOS PULSE - TTYA","0","This flow belongs Creating Channel for user Communication","1","0","Email Channel Creation Positive Flow","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to Pre-Auction Package Page","1","0","Package Creation - Positive","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to Ad Format Set Up","1","0","Ad Format Creation-Negative Flow","0"
"0","OSMOS PULSE - TTYA","0","This flow belongs to communication template creation","1","0","Email Communication Template Creation - Negative Flow","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to Advertiser Segment Manager","1","0","Advertiser Segment Manager - Negative Flow","0"
"0","OSMOS PULSE - TTYA","0","This flow belongs to communication template creation","1","0","SMS Communication Template Creation - Positive Flow","0"
"0","OSMOS PULSE - TTYA","0","This flow belongs to Dashboard- Communication Campaign Creation","1","0","Email Campaign Creation - Negative Flow","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to Build Your Own Targeting- Targeting setUp","1","0","Targeting setUp-Negative Flow","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to Flexi Package Creation","1","0","Package Creation - Positive + Negative Flow","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to Pre-Auction Package Page","1","0","Package Creation - Positive Flow","0"
"0","OSMOS PULSE - TTYA","0","This flow belongs Creating Channel for User Communication","1","0","Email Channel Creation Negative Flow","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to Build Your Own Targeting- Targeting setUp","1","0","Targeting setUp-Positive Flow","0"
"0","OSMOS PULSE - TTYA","0","This flow belongs to communication template creation","1","0","WhatsApp Communication Template Creation - Positive Flow","0"
"0","OSMOS PULSE - TTYA","0","This flow belongs to Dashboard- Communication Campaign Creation","1","0","InApp Campaign Creation-Positive Flow","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to Product Ads Yield Control","1","0","Product Ads Yield Control-Positive Flow","0"
"0","Seller Dashboard","0","Display Ads Page","1","0","This flow belongs Display Ads Custom Attributes Validations","0"
"0","OSMOS PULSE - Admin Dashboard","0","Pre Auction Page","1","0","Package Dashboard","0"
"0","OSMOS PULSE - TTYA","0","This flow belongs to Dashboard- Communication Campaign Creation","2","0","Campaign Creation with Multiple Channels-Positive Flow","0"
"0","OSMOS PULSE - Auth","0","This flow belongs to Auth","1","0","Auth Validation","0"
"0","OSMOS PULSE - InStore Digital","1","This flow belongs to InStore Digital","0","0","Image Ad format Creation","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to Inventory Set Up","1","0","Inventory Creation- Negative Flow","0"
"0","OSMOS PULSE - TTYA","0","This flow belongs to communication template creation","1","0","SmS Communication Template Creation - Negative Flow","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to User Management- Advertiser Users","1","0","Advertiser Users Operations-Positive Flow","0"
"0","OSMOS PULSE - Admin Dashboard","0","Pre Auction Page","1","0","Package Creation - Negative","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to Page Set Up","1","0","Page Creation-Negative Flow","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to Finance Tab Operation","1","0","Finance-Positive Flow","0"
"0","Seller Dashboard","0","Instore Digital Ads","1","0","This flow belongs Instore Digital Ads","0"
"0","OSMOS PULSE - Admin Dashboard","0","This flow belongs to Advertiser Segment Manager","1","0","Advertiser Segment Manager - Positive Flow","0"
"0","Seller Dashboard","0","Performance Page","1","0","This flow belongs to smart campaign creation and cloning","0"
"0","OSMOS PULSE - TTYA","0","This flow belongs Creating Channel for user Communication","1","0","Whatsapp Channel Creation Positive Flow","0"
