"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","73354","Test: Create new CPC Inventory","Default Suite","2026-08-26","passed","2026-08-26","TestPulse.OSMOS.AdInventoryManagement","TestNGTest-8bb6ab8e-8813-43ba-8c1b-8a1f30b417dc","TestPulse.OSMOS.AdInventoryManagement","CreateNewCPCInventory"
"","57858","Test: Create an instore Digital POS Campaign","Default Suite","2026-08-26","broken","2026-08-26","TestSeller.OSMOS.InStoreDigital","TestNGTest-a6ad654a-45bb-424a-85c4-116af471be9e","TestSeller.OSMOS.InStoreDigital","CreationOfInstorePOSCampaign"
"","68231","Test: creation a display ads where frequency capping, drag and drop, Media Estimator, campaign cloning and Inventory Status is validated. ","Default Suite","2026-08-26","passed","2026-08-26","TestSeller.OSMOS.DisplayAds","TestNGTest-effa0b68-4180-4b83-af12-c9fb8569ce2a","TestSeller.OSMOS.DisplayAds","AuctionCampaignCreation"
"","195716","Test: Create new Ad Format","Regression_Test_Suite_Master","2026-08-26","passed","2026-08-26","TestPulse.OSMOS.AdInventoryManagement","Webapp-Online-Sales-AI","TestPulse.OSMOS.AdInventoryManagement","CreateNewAdFormat"
"","63446","Test: Custom Channel Creation - Positive Flow","Default Suite","2026-08-26","passed","2026-08-26","TestPulse.OSMOS.CustomChannel","TestNGTest-cb2f8c43-8ad6-4c19-8e65-a30bb6418e9c","TestPulse.OSMOS.CustomChannel","CustomChannelCreation"
"","44700","Test: Ops User Operations","Default Suite","2026-08-26","passed","2026-08-26","TestPulse.OSMOS.UserManagement","TestNGTest-844978c0-ab42-400d-9265-3d4d79a822ee","TestPulse.OSMOS.UserManagement","OpsUserOperations"
"","50535","Test: Create email communication template","Regression_Test_Suite_Master","2026-08-26","passed","2026-08-26","TestPulse.OSMOS.TTYA.TemplateSetUp","Webapp-Online-Sales-AI","TestPulse.OSMOS.TTYA.TemplateSetUp","CreateEmailCommunicationTemplate"
"","17371","Test: Whatsapp Channel Creation-Negative Flow","Regression_Test_Suite_Master","2026-08-26","passed","2026-08-26","TestPulse.OSMOS.TTYA.ChannelSetUp","Webapp-Online-Sales-AI","TestPulse.OSMOS.TTYA.ChannelSetUp","WhatsappChannelCreationNegativeFlow"
"","26302","Test: Uploading a file with Auction Dates in the Future and Flight Dates in the Past","Default Suite","2026-08-26","passed","2026-08-26","TestPulse.OSMOS.Packages","TestNGTest-59a1adc4-b95f-4e7b-8a4f-2fde1931b011","TestPulse.OSMOS.Packages","UploadingFileWithFutureAuctionDatesAndPastFlightDates"
"","68712","Test: Create new CPD Inventory","Default Suite","2026-08-26","passed","2026-08-26","TestPulse.OSMOS.SponsorshipAds","TestNGTest-6f8efba8-fe81-4192-8338-b9bb19589f4d","TestPulse.OSMOS.SponsorshipAds","CreateNewCPDInventory"
"","36099","Test: Super Admin Operations","Regression_Test_Suite_Master","2026-08-26","passed","2026-08-26","TestPulse.OSMOS.UserManagement","Webapp-Online-Sales-AI","TestPulse.OSMOS.UserManagement","SuperAdminOperations"
"","93834","Test: Create new SDK Image Ad Format","Regression_Test_Suite_Master","2026-08-26","passed","2026-08-26","TestPulse.OSMOS.AdInventoryManagement","Webapp-Online-Sales-AI","TestPulse.OSMOS.AdInventoryManagement","CreateNewSDKImageAdFormat"
"","109782","Test: KeyValue setUp - Negative","Regression_Test_Suite_Master","2026-08-26","passed","2026-08-26","TestPulse.OSMOS.BuildYourOwnTargeting","Webapp-Online-Sales-AI","TestPulse.OSMOS.BuildYourOwnTargeting","KeyValueSetUpNegativeFlow"
"","107547","Test: Video Ad format creation","Regression_Test_Suite_Master","2026-08-26","failed","2026-08-26","TestPulse.OSMOS.InStoreDigital","Webapp-Online-Sales-AI","TestPulse.OSMOS.InStoreDigital","VideoAdFormatCreation"
"","147215","Test: Offsite site Ads Google Performance Max Ads Creation","Regression_Test_Suite_Master","2026-08-26","passed","2026-08-26","TestSeller.OSMOS.OffsiteAds","Webapp-Online-Sales-AI","TestSeller.OSMOS.OffsiteAds","CreationOfOffsiteGooglePerformanceMaxAds"
"","84867","Test: Finance Advertiser Management Operations","Regression_Test_Suite_Master","2026-08-26","passed","2026-08-26","TestPulse.OSMOS.Finance","Webapp-Online-Sales-AI","TestPulse.OSMOS.Finance","FinanceAdvertiserManagementOperations"
"","81772","Test: KeyValue setUp","Regression_Test_Suite_Master","2026-08-26","passed","2026-08-26","TestPulse.OSMOS.BuildYourOwnTargeting","Webapp-Online-Sales-AI","TestPulse.OSMOS.BuildYourOwnTargeting","KeyValueSetUp"
"","133769","Test:Validate all fields while creating In-App communication template","Regression_Test_Suite_Master","2026-08-26","passed","2026-08-26","TestPulse.OSMOS.TTYA.TemplateSetUp","Webapp-Online-Sales-AI","TestPulse.OSMOS.TTYA.TemplateSetUp","ValidateAllFieldsWhileCreatingCreateInAppCommunicationTemplate"
"","167411","Test: Product Ads Yield Control - Negative","Regression_Test_Suite_Master","2026-08-26","passed","2026-08-26","TestPulse.OSMOS.ProductAdsYieldControl","Webapp-Online-Sales-AI","TestPulse.OSMOS.ProductAdsYieldControl","ProductAdsYieldControlNegativeFlowCPM"
"","82524","Test: Playlist template creation","Default Suite","2026-08-26","passed","2026-08-26","TestPulse.OSMOS.InStoreDigital","TestNGTest-a10daf63-de84-460c-b947-2fd7dc350cd3","TestPulse.OSMOS.InStoreDigital","PlaylistTemplateCreation"
