"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","730","validate on Future OF Business Section present or not","website-automation","2026-04-07","passed","2026-04-07","Tests.PartnershipForThePlanet","Regression-Suit","Tests.PartnershipForThePlanet","VerifyFutureOFBusinessSectionIsPresent"
"","1586","Click on the Find Out More Button ","Default Suite","2026-04-16","broken","2026-04-16","Tests.Blogs","website-automation","Tests.Blogs","VerifyFindOutMoreButton"
"","831","Test: Click on GiftAHabitat ","Default Suite","2026-04-16","passed","2026-04-16","Tests.Home","website-automation","Tests.Home","verifyGiftAHabitat"
"","274","clicking on ArtAndScienceOfConservation","Default Suite","2026-04-16","passed","2026-04-16","Tests.Footer","website-automation","Tests.Footer","VerifyArtAndScienceOfConservation"
"","391","validate the section two for Coed Rhyal rests","Default Suite","2026-04-16","passed","2026-04-16","Tests.CoedRhyal","website-automation","Tests.CoedRhyal","VerifyCoedRhyalRestsSectionTextIsPresent"
"","5840","Test: Check  on OceanSanctuary CardDetails ","Default Suite","2026-04-16","passed","2026-04-16","Tests.Home","website-automation","Tests.Home","verifyOceanSanctuaryCardDetails"
"","1955","Test: Click on Search button ","Default Suite","2026-04-17","passed","2026-04-17","Tests.KnowledgeCentre","website-automation","Tests.KnowledgeCentre","VerifySearchButton"
"","2550","Test: Click on Microsoft ","Default Suite","2026-04-16","passed","2026-04-16","Tests.PeopleForThePlanet","website-automation","Tests.PeopleForThePlanet","verifyMicrosoftInPeopleForThePlanetPage"
"","705","Landed on India Page or not","Default Suite","2026-04-16","passed","2026-04-16","Tests.India","website-automation","Tests.India","VerifyFooterContactEmailLink"
"","1217","clicking on KnowledgeCentre ","website-automation","2026-04-07","passed","2026-04-07","Tests.Footer_menu","Regression-Suit","Tests.Footer_menu","VerifyKnowledgeCentre"
"","2198","Test: Click on CoedwigGenedlaetholCymru ","Default Suite","2026-04-16","passed","2026-04-16","Tests.PeopleForThePlanet","website-automation","Tests.PeopleForThePlanet","verifyCoedwigGenedlaetholCymruInPeopleForThePlanetPage"
"","816","Test: Check on CoedRhyalCard CardDetails ","Default Suite","2026-04-16","passed","2026-04-16","Tests.Home","website-automation","Tests.Home","verifyCoedRhyalCardDetails"
"","1618","Movius Corp Linkedin article is opening or not","Default Suite","2026-04-16","passed","2026-04-16","Tests.PressMedia","website-automation","Tests.PressMedia","verifyMoviusCorpLinkedin"
"","242604","click on HOSPITALITY","website-automation","2026-04-07","broken","2026-04-07","Tests.PartnershipForThePlanet","Regression-Suit","Tests.PartnershipForThePlanet","VerifyHOSPITALITY"
"","26250","Test: Verifying 'Search Our Journal' with valid inputs","Default Suite","2026-04-16","passed","2026-04-16","Tests.Blogs","website-automation","Tests.Blogs","VerifySearchOurJournalWithValidInput"
"","2523","Test: Click on Trusted By Guardians in Seal of Trust ","Default Suite","2026-04-16","passed","2026-04-16","Tests.Home","website-automation","Tests.Home","ClickOnTrustedByGuardians"
"","620","Landed on Ocean Sanctuary Page or not","Default Suite","2026-04-16","passed","2026-04-16","Tests.OceanSanctuary","website-automation","Tests.OceanSanctuary","VerifyZoneHeadings"
"","4966","clicking on GiftNow Button","Default Suite","2026-04-16","passed","2026-04-16","Tests.PeopleForThePlanet","website-automation","Tests.PeopleForThePlanet","VerifyGiftNowButton"
"","4605","Test: Click on CannesLions ","website-automation","2026-04-07","passed","2026-04-07","Tests.Home_New","Regression-Suit","Tests.Home_New","verifyCannesLions"
"","748","clicking on OceanSanctuary","website-automation","2026-04-07","passed","2026-04-07","Tests.Footer_menu","Regression-Suit","Tests.Footer_menu","VerifyOceanSanctuary"
"","6484","Test: Click on ClickOnVillageCapital ","Default Suite","2026-04-16","passed","2026-04-16","Tests.PeopleForThePlanet","website-automation","Tests.PeopleForThePlanet","verifyVillageCapitalInPeopleForThePlanetPage"
"","50193","Click on the facebook Button","Default Suite","2026-04-16","passed","2026-04-16","Tests.Blogs","website-automation","Tests.Blogs","VerifyFacebookInShareNavigation"
"","1521","Test: Click on clickOnCould ","Default Suite","2026-04-16","passed","2026-04-16","Tests.Home","website-automation","Tests.Home","verifyClickOnCould"
"","1786","Test: Click on ProtectAHabitat, verifying if it is taking to ProtectAHabitat Section","Default Suite","2026-04-16","passed","2026-04-16","Tests.HamburgerMenu","website-automation","Tests.HamburgerMenu","verifyClickingOnTheProtectAHabitatRedirectToTheCorrectSection"
"","3943","Test: Click on Linked Post Two ","website-automation","2026-04-07","broken","2026-04-07","Tests.Home_New","Regression-Suit","Tests.Home_New","verifyLinkedPostTwoNavigation"
"","824","clicking on CookiePolicy ","website-automation","2026-04-07","passed","2026-04-07","Tests.Footer_menu","Regression-Suit","Tests.Footer_menu","VerifyCookiePolicy"
"","832","Test: Click on Gigrin Prysg link ","Default Suite","2026-04-17","passed","2026-04-17","Tests.AboutUs","website-automation","Tests.AboutUs","VerifyGigrinPrysgForest"
"","591","Landed on Business For The Planet Page or not","Default Suite","2026-04-16","passed","2026-04-16","Tests.BusinessForThePlanet","website-automation","Tests.BusinessForThePlanet","VerifySeedsOfRecognitionTab"
"","1735","Test: Click on BrandAHabitat, verifying if it is taking to BrandAHabitat Section","Default Suite","2026-04-16","passed","2026-04-16","Tests.HamburgerMenu","website-automation","Tests.HamburgerMenu","verifyClickingOnTheBrandAHabitatToTheCorrectSection"
"","1134","Test: In Search box Entre Special Characters And Numbers","website-automation","2026-04-07","passed","2026-04-07","Tests.Home_New","Regression-Suit","Tests.Home_New","verifyEntreSpecialCharactersAndNumbersInSearchBox"
"","674","clicking on TermsAndConditions ","Default Suite","2026-04-16","passed","2026-04-16","Tests.Footer","website-automation","Tests.Footer","VerifyTermsAndConditions"
"","12","setupTests","website-automation","2026-04-07","broken","2026-04-07","Tests.CoedRhyal","Regression-Suit","Tests.CoedRhyal","setupTests"
"","534","clicking on ProtectAHabitat","Default Suite","2026-04-16","passed","2026-04-16","Tests.PeopleForThePlanet","website-automation","Tests.PeopleForThePlanet","VerifyProtectAHabitat"
"","382","Landed on Business For The Planet Page or not","Default Suite","2026-04-16","passed","2026-04-16","Tests.BusinessForThePlanet","website-automation","Tests.BusinessForThePlanet","VerifySection4Heading"
"","2459","Landed on India Page or not","Default Suite","2026-04-16","passed","2026-04-16","Tests.India","website-automation","Tests.India","VerifyFooterAboutUsButton1"
"","13293","Test: Click on Linked Post one ","Default Suite","2026-04-16","broken","2026-04-16","Tests.Home","website-automation","Tests.Home","verifyLinkedPostOneNavigation"
"","20136","Test: Check if Categories is enabled","Default Suite","2026-04-16","broken","2026-04-16","Tests.Blogs","website-automation","Tests.Blogs","VerifyCategoriesIsEnabled"
"","2488","Landed on Our Sacred Groves Page or not","Default Suite","2026-04-16","passed","2026-04-16","Tests.OurSacredGroves","website-automation","Tests.OurSacredGroves","VerifyRecognitionCannesLions"
"","419","clicking on BrandAHabitat ","Default Suite","2026-04-16","passed","2026-04-16","Tests.Footer","website-automation","Tests.Footer","VerifyBrandAHabitat"
"","35466","Verify cross button In Blog Page disappears after clicking","Default Suite","2026-04-16","passed","2026-04-16","Tests.Blogs","website-automation","Tests.Blogs","verifyCrossButtonRemoval"
"","727","Test: Click on OceanSanctuary ","Default Suite","2026-04-16","passed","2026-04-16","Tests.Home","website-automation","Tests.Home","verifyOceanSanctuaryArrowButton"
"","2245","Verify the joy For The Planet section","website-automation","2026-04-07","passed","2026-04-07","Tests.PartnershipForThePlanet","Regression-Suit","Tests.PartnershipForThePlanet","VerifyJoyForThePlanet"
"","950","Search a article word which is not present of Article","Default Suite","2026-04-16","passed","2026-04-16","Tests.PressMedia","website-automation","Tests.PressMedia","EntreSpecialCharactersAndNumbersInSearchBox"
"","2784","Test: Click on Satellites ","website-automation","2026-04-07","passed","2026-04-07","Tests.Home_New","Regression-Suit","Tests.Home_New","verifySatellites"
"","387","Landed on Ocean Sanctuary Page or not","Default Suite","2026-04-16","passed","2026-04-16","Tests.OceanSanctuary","website-automation","Tests.OceanSanctuary","VerifySection3Text"
"","13485","2025 Forest image of Coed Rhyal Forest is visible or not","Default Suite","2026-04-16","passed","2026-04-16","Tests.CoedRhyal","website-automation","Tests.CoedRhyal","VerifyThe2025ForestImagesForCoedRhyal"
"","2272","Test: Click on JoinUSButtonForBusinessForPlanet ","website-automation","2026-04-07","passed","2026-04-07","Tests.Home_New","Regression-Suit","Tests.Home_New","verifyJoinUSButtonForBusinessForPlanet"
"","731","clicking on MediaCenter ","website-automation","2026-04-07","passed","2026-04-07","Tests.Footer_menu","Regression-Suit","Tests.Footer_menu","VerifyMediaCenter"
"","1769","Test: Click on PartnershipForThePlanet, verifying if it is taking to PartnershipForThePlanet Page","Default Suite","2026-04-16","passed","2026-04-16","Tests.HamburgerMenu","website-automation","Tests.HamburgerMenu","verifyClickingOnThePartnershipForThePlanetRedirectToTheCorrectPage"
"","923","Landed on India Page or not","Default Suite","2026-04-16","passed","2026-04-16","Tests.India","website-automation","Tests.India","VerifyBrandAHabitatTab"
"","1060","Test: Click on Cookie policy button ","Default Suite","2026-04-17","passed","2026-04-17","Tests.AboutUs","website-automation","Tests.AboutUs","VerifyCookiePolicy"
"","1963","Test: Click on Trusted By Guardians in Seal of Trust ","Default Suite","2026-04-16","passed","2026-04-16","Tests.PeopleForThePlanet","website-automation","Tests.PeopleForThePlanet","ClickOnTrustedByGuardiansInPeopleForThePlanetPage"
"","894","clicking on GiftAHabitat","website-automation","2026-04-07","passed","2026-04-07","Tests.Footer_menu","Regression-Suit","Tests.Footer_menu","VerifyGiftAHabitat"
"","1268","Landed on Business For The Planet Page or not","Default Suite","2026-04-16","passed","2026-04-16","Tests.BusinessForThePlanet","website-automation","Tests.BusinessForThePlanet","VerifyMyEarthPointButton"
"","8206","Landed on Business For The Planet Page or not","Default Suite","2026-04-16","passed","2026-04-16","Tests.BusinessForThePlanet","website-automation","Tests.BusinessForThePlanet","VerifyRecognitionRCOP28"
"","930","Landed on India Page or not","Default Suite","2026-04-16","passed","2026-04-16","Tests.India","website-automation","Tests.India","VerifyBrandAHabitatButton"
"","18447","Test: 2024 Forest image of Gigrin Prysg Forest is visible or not","Default Suite","2026-06-25","passed","2026-06-25","Tests.GigrinPrysg","website-automation","Tests.GigrinPrysg","VerifyThe2024ForestImagesGigrinPrysg"
"","22160","Search a blog by using the Tag And Categories","Default Suite","2026-04-16","passed","2026-04-16","Tests.Blogs","website-automation","Tests.Blogs","ClickOnTheBlogWithSearchTheBlogsByTagAndCategories"
"","2039","Landed on India Page or not","Default Suite","2026-04-16","passed","2026-04-16","Tests.India","website-automation","Tests.India","VerifyRecognitionPwc"
"","829","Test: Click on Coed Rhyal link ","Default Suite","2026-04-17","passed","2026-04-17","Tests.AboutUs","website-automation","Tests.AboutUs","VerifyCoedRhyalForest"
"","5797","clicking on ActNow Button","Default Suite","2026-04-16","passed","2026-04-16","Tests.PeopleForThePlanet","website-automation","Tests.PeopleForThePlanet","VerifyActNowButton"
"","2549","Test: Click on CannesLions ","Default Suite","2026-04-16","passed","2026-04-16","Tests.Home","website-automation","Tests.Home","verifyCannesLions"
"","7034","Mr. Dafydd Lloyd Liaison Officer Video Title is Displayed or not","Default Suite","2026-04-16","passed","2026-04-16","Tests.GigrinPrysg","website-automation","Tests.GigrinPrysg","verifyVideoTitleForDafyddLloyd"
"","842","Test: Check on Location pin of OceanSanctuary ","Default Suite","2026-04-16","passed","2026-04-16","Tests.Home","website-automation","Tests.Home","verifyCheckLocationPinOfOceanSanctuary"
"","1398","Test: Click on Gigrin ","website-automation","2026-04-07","passed","2026-04-07","Tests.Home_New","Regression-Suit","Tests.Home_New","verifyGigrinArrowButton"
"","442","clicking on CookiePolicy ","Default Suite","2026-04-16","passed","2026-04-16","Tests.Footer","website-automation","Tests.Footer","VerifyCookiePolicy"
"","8654","Test: Click on Cope28UAE ","Default Suite","2026-04-16","passed","2026-04-16","Tests.Home","website-automation","Tests.Home","verifyCope28UAE"
"","3699","Test: Click on PartOf National Forest Wales in Seal of Trust ","website-automation","2026-04-07","passed","2026-04-07","Tests.Home_New","Regression-Suit","Tests.Home_New","ClickOnWerePartOfNationalForestWales"
"","30230","Verify all 8 images clickable and popup handled","Default Suite","2026-04-16","passed","2026-04-16","Tests.Home","website-automation","Tests.Home","verifyAllPlanetImages"
"","0","setupTests","website-automation","2026-04-07","broken","2026-04-07","Tests.HamburgerMenu","Regression-Suit","Tests.HamburgerMenu","setupTests"
"","13200","Test: Click on Linked Post Two ","Default Suite","2026-04-16","broken","2026-04-16","Tests.Home","website-automation","Tests.Home","verifyLinkedPostTwoNavigation"
"","7075","Test: Click on Next and Previous buttons ","Default Suite","2026-04-17","passed","2026-04-17","Tests.KnowledgeCentre","website-automation","Tests.KnowledgeCentre","VerifyKnowledgeCentreDetailsNextAndPreviousButton"
"","15748","Test: Verifying 'Search Our Journal' with invalid inputs","Default Suite","2026-04-16","passed","2026-04-16","Tests.Blogs","website-automation","Tests.Blogs","VerifySearchOurJournalWithInvalidInput"
"","694","Verify Clear the search Entered Text","Default Suite","2026-04-16","passed","2026-04-16","Tests.Home","website-automation","Tests.Home","verifyCloseMenuButton"
