"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"63","","5","","43","3","","0"
"0","","0","Scheduled Mails","1","0","Scheduled Mail Management","0"
"0","","0","Labels","5","0","Label Management from Mobile","0"
"0","","0","Navigation","1","0","Hamburger Menu Folders","0"
"0","","0","Multi Select","1","0","Non-Conversation View Multi Select","0"
"0","","0","Reminders","1","0","Reminder Management from Composer","0"
"0","","0","Search","0","1","No Results Handling","0"
"0","","0","Composer","1","0","Booking & Service Links","0"
"0","","0","Search","0","1","Recent Search Management","0"
"0","Thread Module","0","Thread Swipe ","1","0"," Verify Thread Swipe Actions","0"
"0","","1","Offline Mode","0","0","Network Toast Message","0"
"0","","0","Search","0","2","Filter Bar Behavior","0"
"0","","0","Reminders","1","0","Scheduled Folder Reminder","0"
"0","","0","Offline Mode","1","0","Queued Send","0"
"0","","0","Undo Action","0","1","Send Mail Undo Behavior","0"
"0","","0","Search","0","1","Search Filters Display","0"
"0","","1","Move Threads","0","0","Slow Move - More than 400 Threads","0"
"0","","0","Search","0","1","Sender/Recipient Selection","0"
"0","","0","Reminders","1","0","Reminder Management After Sending Mail","0"
"1","","0","Move Threads","0","0","Fast Move - Less than 400 Threads","0"
"0","","0","Reminders","1","0","Reminder Management","0"
"2","Thread Module","1","","1","0","","0"
"0","","0","Offline Mode","1","0","Thread Operations","0"
"0","","0","Undo Action","0","1","Offline Mode Undo Behavior","0"
"0","","0","Navigation","1","0","Hamburger Menu Behavior","0"
"0","","0","Reminders","1","0","Follow-up Reminder Behavior","0"
"0","","0","Search","0","1","Folder Filter Behavior","0"
"0","","0","Multi Select","2","0","Conversation View Multi Select","0"
"0","","0","Offline Mode","1","0","Logout Restriction","0"
"0","","0","Scheduled Mails","1","0","Mail Scheduling and Editing","0"
"0","","0","Reminders","1","0","Reminder Management from Sent Folder","0"
"0","","0","Offline Mode","1","0","Login Restriction","0"
"0","","0","Undo Action","0","1","Thread Move and Delete Undo Behavior","0"
