"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17109","verifyAppointmentBooking","All Test Suite","2026-03-30","broken","2026-03-30","com.titan.mobile.test.AppointmentBookingTest","E2E Flow Test","com.titan.mobile.test.AppointmentBookingTest","verifyAppointmentBooking"
"Verify drafting, multi-select, read/unread, star/unstar, and delete behavior for scheduled mails","176567","Verify scheduled mail actions and behavior","Default Suite","2026-05-22","passed","2026-05-22","com.titan.mobile.test.ScheduledTest","titanMobile_March_hybrid","com.titan.mobile.test.ScheduledTest","verifyScheduledMailActionsAndBehavior"
"","6","closeDriver","Default Suite","2026-05-06","broken","2026-05-06","com.titan.mobile.test.ThreadsTest","titanMobile_March_hybrid","com.titan.mobile.test.ThreadsTest","closeDriver"
"","3","startServer","Default Suite","2026-04-24","broken","2026-04-24","com.titan.mobile.test.ArchiveTest","titanMobile_March_hybrid","com.titan.mobile.test.ArchiveTest","startServer"
"","98128","tc428","Default Suite","2026-04-03","passed","2026-04-03","com.titan.mobile.test.SearchFilterTest","titanMobile_March_hybrid","com.titan.mobile.test.SearchFilterTest","tc428"
"","254988","tc414","Default Suite","2026-05-13","passed","2026-05-13","com.titan.mobile.test.SearchTest","titanMobile_March_hybrid","com.titan.mobile.test.SearchTest","tc414"
"","34161","tc204","Default Suite","2026-04-02","passed","2026-04-02","com.titan.mobile.test.FollowUpReminderTest","titanMobile_March_hybrid","com.titan.mobile.test.FollowUpReminderTest","tc204"
"","0","login","Default Suite","2026-05-06","broken","2026-05-06","com.titan.mobile.test.ThreadsTest","titanMobile_March_hybrid","com.titan.mobile.test.ThreadsTest","login"
"Verify user can create, edit, delete labels from mobile and manage labels created from both web and mobile","24438","Verify label creation, editing, deletion and cross-platform management from mobile","Default Suite","2026-05-21","passed","2026-05-21","com.titan.mobile.test.EmailLabelsTest","titanMobile_March_hybrid","com.titan.mobile.test.EmailLabelsTest","verifyLabelVisibilityFromWebInApplyLabelList"
"","0","closeDriver","All Test Suite","2026-04-24","broken","2026-04-24","com.titan.mobile.test.ScheduledTest","E2E Flow Test","com.titan.mobile.test.ScheduledTest","closeDriver"
"","0","setupDriver","All Test Suite","2026-04-24","broken","2026-04-24","com.titan.mobile.test.UndoTest","E2E Flow Test","com.titan.mobile.test.UndoTest","setupDriver"
"","717494","tc428_437","Default Suite","2026-04-07","passed","2026-04-07","com.titan.mobile.test.SearchFilterTest","titanMobile_March_hybrid","com.titan.mobile.test.SearchFilterTest","tc428_437"
"","4","startServer","Default Suite","2026-04-27","broken","2026-04-27","com.titan.mobile.test.DummyTest","titanMobile_March_hybrid","com.titan.mobile.test.DummyTest","startServer"
"","1","login","Default Suite","2026-04-13","broken","2026-04-13","com.titan.mobile.test.CalendarBasicTest","titanMobile_March_hybrid","com.titan.mobile.test.CalendarBasicTest","login"
"","46305","tc203","Default Suite","2026-04-02","passed","2026-04-02","com.titan.mobile.test.FollowUpReminderTest","titanMobile_March_hybrid","com.titan.mobile.test.FollowUpReminderTest","tc203"
"Verify static folders, dynamic folders, labels and footer options are displayed in hamburger menu with unread count","17424","Verify static folders and sections in hamburger menu","Default Suite","2026-05-21","passed","2026-05-21","com.titan.mobile.test.HamburgerMenuTest","titanMobile_March_hybrid","com.titan.mobile.test.HamburgerMenuTest","verifyHamburgerMenuFoldersAndSections"
"Verify user can multi-select emails in non-conversation (non-threaded) view and validate that 'Show Count' option is not displayed.","45912","Verify multi-select behavior and absence of Show Count option in non-conversation view","Default Suite","2026-05-22","passed","2026-05-22","com.titan.mobile.test.BulkSelectTest","titanMobile_March_hybrid","com.titan.mobile.test.BulkSelectTest","verifyMultiSelectAndBulkSelectBehaviorInNonConversationView"
"Verify user can set reminder with options like Tomorrow, Pick a date and time (current and future dates), In 2 days, and In 1 week while composing an email","33749","Verify reminder options and functionality while composing an email","Default Suite","2026-05-21","passed","2026-05-21","com.titan.mobile.test.FollowUpReminderTest","titanMobile_March_hybrid","com.titan.mobile.test.FollowUpReminderTest","verifyReminderOptionsWhileComposingEmail"
"Verify that 'No messages found' is displayed when search keyword has no matching results","1","Verify behavior when search keyword has no matching results","All Test Suite","2026-04-24","skipped","2026-04-24","com.titan.mobile.test.SearchFilterTest","E2E Flow Test","com.titan.mobile.test.SearchFilterTest","verifyNoMessagesFoundForNonMatchingKeyword"
"","0","setUp","Default Suite","2026-05-12","broken","2026-05-12","com.titan.mobile.test.OfflineTest","titanMobile_March_hybrid","com.titan.mobile.test.OfflineTest","setUp"
